Date,Open,High,Low,Close,Adj Close,Volume
2020-02-18,0.282848,0.293662,0.272225,0.293662,0.293662,19145123
2020-02-19,0.293811,0.293811,0.265048,0.268112,0.268112,17696799
2020-02-20,0.267436,0.270774,0.257862,0.265527,0.265527,15899076
2020-02-21,0.264983,0.272927,0.264011,0.267784,0.267784,11268954
2020-02-22,0.268095,0.273272,0.262957,0.270978,0.270978,8769992
2020-02-23,0.270980,0.279578,0.270509,0.277747,0.277747,9027998
2020-02-24,0.277853,0.279450,0.256784,0.261913,0.261913,10340995
2020-02-25,0.261744,0.261993,0.246497,0.249146,0.249146,10921158
2020-02-26,0.249061,0.249356,0.212832,0.218241,0.218241,17855992
2020-02-27,0.218367,0.229214,0.204760,0.215254,0.215254,16234447
2020-02-28,0.215119,0.221284,0.205920,0.216021,0.216021,9263861
2020-02-29,0.215792,0.221133,0.212839,0.214803,0.214803,6142731
2020-03-01,0.214803,0.221097,0.207377,0.211438,0.211438,5944197
2020-03-02,0.211643,0.226072,0.209488,0.223255,0.223255,6376125
2020-03-03,0.223200,0.228520,0.219888,0.224476,0.224476,7549976
2020-03-04,0.224476,0.225217,0.220096,0.222801,0.222801,7279425
2020-03-05,0.222816,0.238583,0.222816,0.230589,0.230589,10323856
2020-03-06,0.230492,0.233698,0.226214,0.232619,0.232619,7563825
2020-03-07,0.232535,0.239183,0.223502,0.224082,0.224082,8533803
2020-03-08,0.224063,0.224340,0.191442,0.193029,0.193029,11954007
2020-03-09,0.192755,0.198779,0.179967,0.191661,0.191661,14472155
2020-03-10,0.192059,0.199421,0.187943,0.198016,0.198016,13844957
2020-03-11,0.197777,0.201094,0.185110,0.194916,0.194916,13132537
2020-03-12,0.195079,0.195647,0.113098,0.113183,0.113183,19968009
2020-03-13,0.112724,0.143072,0.079620,0.130333,0.130333,26677957
2020-03-14,0.130651,0.153810,0.120070,0.148006,0.148006,13858951
2020-03-15,0.148006,0.163573,0.131564,0.132011,0.132011,8996003
2020-03-16,0.131933,0.131942,0.097550,0.110195,0.110195,16399665
2020-03-17,0.110250,0.124736,0.109426,0.120833,0.120833,14702716
2020-03-18,0.120882,0.126340,0.114393,0.123403,0.123403,13200893
2020-03-19,0.123375,0.174578,0.123332,0.169805,0.169805,22710819
2020-03-20,0.169821,0.182486,0.136228,0.147342,0.147342,20310929
2020-03-21,0.147334,0.153860,0.136421,0.143885,0.143885,14925146
2020-03-22,0.143845,0.146429,0.126998,0.127471,0.127471,11568547
2020-03-23,0.127471,0.144317,0.125110,0.143632,0.143632,14284312
2020-03-24,0.143333,0.146493,0.138148,0.145976,0.145976,13213613
2020-03-25,0.146114,0.147771,0.141860,0.144203,0.144203,10987289
