Date,Open,High,Low,Close,Adj Close,Volume
2020-02-18,114.446800,116.376724,108.314957,115.644241,115.644241,851870268
2020-02-19,115.564766,115.685722,106.483505,106.605545,106.605545,843777656
2020-02-20,106.433342,107.321739,101.906937,105.549805,105.549805,946434289
2020-02-21,105.342667,109.459892,104.264740,107.937546,107.937546,978201788
2020-02-22,107.957939,109.440918,103.864799,104.695908,104.695908,947030401
2020-02-23,104.590721,108.755409,104.303970,108.145134,108.145134,902539669
2020-02-24,108.170586,108.558052,101.398956,103.596947,103.596947,884387173
2020-02-25,103.615784,103.648033,95.804482,96.201248,96.201248,868833032
2020-02-26,96.197914,96.597870,80.843933,84.876045,84.876045,939230803
2020-02-27,84.871956,92.374908,80.168159,88.524345,88.524345,955652217
2020-02-28,88.793327,91.729599,84.329628,87.897408,87.897408,964429503
2020-02-29,87.887512,89.901001,85.892166,85.892166,85.892166,756043899
2020-03-01,85.772682,89.375572,83.729500,85.105598,85.105598,765429157
2020-03-02,85.111610,91.162613,84.514633,89.738174,89.738174,803239980
2020-03-03,89.740311,90.350021,87.725021,88.589973,88.589973,729643777
2020-03-04,88.614677,89.780426,86.278885,87.011284,87.011284,667762324
2020-03-05,86.986221,92.576279,86.986221,90.141228,90.141228,657743095
2020-03-06,90.117630,93.539696,89.752434,93.248634,93.248634,687180265
2020-03-07,93.232994,93.337601,88.214119,88.327759,88.327759,1565980271
2020-03-08,88.315346,88.315346,74.702431,74.820778,74.820778,684992535
2020-03-09,74.736710,75.743881,68.872292,73.424698,73.424698,728171290
2020-03-10,73.541801,75.734879,72.726822,74.833038,74.833038,630281910
2020-03-11,74.853157,75.174988,68.934593,72.073425,72.073425,581171477
2020-03-12,72.092041,72.334633,45.529202,45.529202,45.529202,639947953
2020-03-13,45.777351,52.189926,34.906933,50.926090,50.926090,763167995
2020-03-14,50.985203,51.135231,45.735229,46.328629,46.328629,476112432
2020-03-15,46.288441,50.033661,45.869213,47.499184,47.499184,449031165
2020-03-16,47.471104,47.551350,39.610912,42.945484,42.945484,483830041
2020-03-17,42.947590,46.011608,42.826881,44.619865,44.619865,436624179
2020-03-18,44.664059,59.593079,44.280563,59.593079,59.593079,773775691
2020-03-19,59.784859,68.897789,55.998653,65.849304,65.849304,1003586345
2020-03-20,65.830124,76.090889,62.554726,71.038284,71.038284,1042135792
2020-03-21,71.048874,75.005775,68.425163,71.290016,71.290016,986049950
2020-03-22,71.320389,73.020226,63.465157,63.831505,63.831505,730950699
